[ 2015-09-30T12:40:55+08:00 ] /lejing/admin.php/menu/module_list/pid/243 | SQL: SELECT `menu_title`,`pid`,`url` FROM `cms_admin_menu` WHERE ( `status` = 1 ) AND ( `level` = 3 ) AND ( `func_name` = 'module_list' ) LIMIT 1   [ RunTime:0.000000s ]
[ 2015-09-30T12:40:55+08:00 ] /lejing/admin.php/menu/module_list/pid/243 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2015-09-30T12:40:55+08:00 ] /lejing/admin.php/menu/module_list/pid/243 | SQL: SELECT `menu_id`,`menu_title`,`pid`,`url` FROM `cms_admin_menu` WHERE ( `status` = 1 ) AND ( `level` = 2 ) AND ( `func_name` = 'Menu' ) LIMIT 1   [ RunTime:0.001000s ]
[ 2015-09-30T12:40:55+08:00 ] /lejing/admin.php/menu/module_list/pid/243 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2015-09-30T12:40:55+08:00 ] /lejing/admin.php/menu/module_list/pid/243 | SQL: SELECT `menu_id`,`menu_title`,`url` FROM `cms_admin_menu` WHERE ( `menu_id` = '1' ) LIMIT 1   [ RunTime:0.001000s ]
[ 2015-09-30T12:40:55+08:00 ] /lejing/admin.php/menu/module_list/pid/243 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2015-09-30T12:40:55+08:00 ] /lejing/admin.php/menu/module_list/pid/243 | SQL: SELECT `menu_title`,`pid`,`url` FROM `cms_admin_menu` WHERE ( `status` = 1 ) AND ( `level` = 3 ) AND ( `func_name` = 'module_list' ) LIMIT 1   [ RunTime:0.000000s ]
[ 2015-09-30T12:40:55+08:00 ] /lejing/admin.php/menu/module_list/pid/243 | NOTIC: [8] Use of undefined constant url - assumed 'url' CommonAction.class.php 第 138 行.
[ 2015-09-30T12:40:55+08:00 ] /lejing/admin.php/menu/module_list/pid/243 | NOTIC: [8] Undefined index: menu_title MenuAction.class.php 第 18 行.
[ 2015-09-30T12:40:55+08:00 ] /lejing/admin.php/menu/module_list/pid/243 | NOTIC: [8] Undefined index: status MenuAction.class.php 第 21 行.
[ 2015-09-30T12:40:55+08:00 ] /lejing/admin.php/menu/module_list/pid/243 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2015-09-30T12:40:55+08:00 ] /lejing/admin.php/menu/module_list/pid/243 | SQL: SELECT * FROM `cms_admin_menu` WHERE ( `pid` = '243' ) ORDER BY sort  [ RunTime:0.000000s ]
[ 2015-09-30T12:40:55+08:00 ] /lejing/admin.php/menu/module_list/pid/243 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2015-09-30T12:40:55+08:00 ] /lejing/admin.php/menu/module_list/pid/243 | SQL: SELECT `level`,`menu_title` FROM `cms_admin_menu` WHERE menu_id=243 LIMIT 1   [ RunTime:0.000000s ]
[ 2015-09-30T12:40:55+08:00 ] /lejing/admin.php/menu/module_list/pid/243 | INFO: Tag[ view_template ] --START--
[ 2015-09-30T12:40:55+08:00 ] /lejing/admin.php/menu/module_list/pid/243 | INFO: Run LocationTemplate Behavior [ RunTime:0.001000s ]
[ 2015-09-30T12:40:55+08:00 ] /lejing/admin.php/menu/module_list/pid/243 | INFO: Tag[ view_template ] --END-- [ RunTime:0.001000s ]
[ 2015-09-30T12:40:55+08:00 ] /lejing/admin.php/menu/module_list/pid/243 | INFO: Tag[ view_parse ] --START--
[ 2015-09-30T12:40:55+08:00 ] /lejing/admin.php/menu/module_list/pid/243 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2015-09-30T12:40:55+08:00 ] /lejing/admin.php/menu/module_list/pid/243 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-09-30T12:40:55+08:00 ] /lejing/admin.php/menu/module_list/pid/243 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-09-30T12:40:55+08:00 ] /lejing/admin.php/menu/module_list/pid/243 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-09-30T12:40:55+08:00 ] /lejing/admin.php/menu/module_list/pid/243 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-09-30T12:40:55+08:00 ] /lejing/admin.php/menu/module_list/pid/243 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-09-30T12:40:55+08:00 ] /lejing/admin.php/menu/module_list/pid/243 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2015-09-30T12:40:55+08:00 ] /lejing/admin.php/menu/module_list/pid/243 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-09-30T12:40:55+08:00 ] /lejing/admin.php/menu/module_list/pid/243 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-09-30T12:40:55+08:00 ] /lejing/admin.php/menu/module_list/pid/243 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-09-30T12:40:55+08:00 ] /lejing/admin.php/menu/module_list/pid/243 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-09-30T12:40:55+08:00 ] /lejing/admin.php/menu/module_list/pid/243 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-09-30T12:40:55+08:00 ] /lejing/admin.php/menu/module_list/pid/243 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-09-30T12:40:55+08:00 ] /lejing/admin.php/menu/module_list/pid/243 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-09-30T12:40:55+08:00 ] /lejing/admin.php/menu/module_list/pid/243 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-09-30T12:40:55+08:00 ] /lejing/admin.php/menu/module_list/pid/243 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-09-30T12:40:55+08:00 ] /lejing/admin.php/menu/module_list/pid/243 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-09-30T12:40:55+08:00 ] /lejing/admin.php/menu/module_list/pid/243 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-09-30T12:40:55+08:00 ] /lejing/admin.php/menu/module_list/pid/243 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-09-30T12:40:55+08:00 ] /lejing/admin.php/menu/module_list/pid/243 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-09-30T12:40:55+08:00 ] /lejing/admin.php/menu/module_list/pid/243 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-09-30T12:40:55+08:00 ] /lejing/admin.php/menu/module_list/pid/243 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-09-30T12:40:55+08:00 ] /lejing/admin.php/menu/module_list/pid/243 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-09-30T12:40:55+08:00 ] /lejing/admin.php/menu/module_list/pid/243 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-09-30T12:40:55+08:00 ] /lejing/admin.php/menu/module_list/pid/243 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
