[ 2015-09-24T21:19:52+08:00 ] /admin.php/index/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.015625s ]
[ 2015-09-24T21:19:52+08:00 ] /admin.php/index/index | INFO: Tag[ view_filter ] --START--
[ 2015-09-24T21:19:52+08:00 ] /admin.php/index/index | INFO: Run ContentReplace Behavior [ RunTime:0.000000s ]
[ 2015-09-24T21:19:52+08:00 ] /admin.php/index/index | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2015-09-24T21:19:52+08:00 ] /admin.php/index/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2015-09-24T21:19:52+08:00 ] /admin.php/index/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000000s ]
[ 2015-09-24T21:19:52+08:00 ] /admin.php/index/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000000s ]
[ 2015-09-24T21:19:52+08:00 ] /admin.php/index/index | INFO: Tag[ view_end ] --START--
[ 2015-09-24T21:19:52+08:00 ] /admin.php/index/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000000s ]
[ 2015-09-24T21:19:52+08:00 ] /admin.php/index/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000000s ]
[ 2015-09-24T21:19:52+08:00 ] /admin.php/index/top | INFO: Tag[ route_check ] --START--
[ 2015-09-24T21:19:52+08:00 ] /admin.php/index/top | INFO: Run CheckRoute Behavior [ RunTime:0.000000s ]
[ 2015-09-24T21:19:52+08:00 ] /admin.php/index/top | INFO: Tag[ route_check ] --END-- [ RunTime:0.000000s ]
[ 2015-09-24T21:19:52+08:00 ] /admin.php/index/top | INFO: Tag[ app_begin ] --START--
[ 2015-09-24T21:19:52+08:00 ] /admin.php/index/top | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2015-09-24T21:19:52+08:00 ] /admin.php/index/top | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2015-09-24T21:19:52+08:00 ] /admin.php/index/top | NOTIC: [8] Undefined offset: 1 CommonAction.class.php 第 149 行.
[ 2015-09-24T21:19:52+08:00 ] /admin.php/index/top | NOTIC: [8192] mysql_escape_string(): This function is deprecated; use mysql_real_escape_string() instead. DbMysql.class.php 第 409 行.
[ 2015-09-24T21:19:52+08:00 ] /admin.php/index/top | SQL: SELECT `menu_id`,`menu_title`,`pid`,`url` FROM `cms_admin_menu` WHERE ( `status` = 1 ) AND ( `level` = 2 ) AND ( `func_name` = 'Index' ) LIMIT 1   [ RunTime:0.000000s ]
[ 2015-09-24T21:19:52+08:00 ] /admin.php/index/top | SQL: SELECT `menu_id`,`menu_title`,`url` FROM `cms_admin_menu` WHERE ( `menu_id` = null ) LIMIT 1   [ RunTime:0.000000s ]
[ 2015-09-24T21:19:52+08:00 ] /admin.php/index/top | SQL: SELECT `menu_title`,`pid`,`url` FROM `cms_admin_menu` WHERE ( `status` = 1 ) AND ( `level` = 3 ) AND ( `func_name` = 'top' ) LIMIT 1   [ RunTime:0.000000s ]
[ 2015-09-24T21:19:52+08:00 ] /admin.php/index/top | NOTIC: [8] Undefined offset: 1 CommonAction.class.php 第 154 行.
[ 2015-09-24T21:19:52+08:00 ] /admin.php/index/top | SQL: SELECT `menu_id`,`menu_title`,`pid`,`url` FROM `cms_admin_menu` WHERE ( `status` = 1 ) AND ( `level` = 2 ) AND ( `func_name` = 'Index' ) LIMIT 1   [ RunTime:0.000000s ]
[ 2015-09-24T21:19:52+08:00 ] /admin.php/index/top | SQL: SELECT `menu_id`,`menu_title`,`url` FROM `cms_admin_menu` WHERE ( `menu_id` = null ) LIMIT 1   [ RunTime:0.000000s ]
[ 2015-09-24T21:19:52+08:00 ] /admin.php/index/top | SQL: SELECT `menu_title`,`pid`,`url` FROM `cms_admin_menu` WHERE ( `status` = 1 ) AND ( `level` = 3 ) AND ( `func_name` = 'top' ) LIMIT 1   [ RunTime:0.015625s ]
[ 2015-09-24T21:19:52+08:00 ] /admin.php/index/top | NOTIC: [8] Use of undefined constant url - assumed 'url' CommonAction.class.php 第 138 行.
[ 2015-09-24T21:19:52+08:00 ] /admin.php/index/top | INFO: Tag[ view_template ] --START--
[ 2015-09-24T21:19:52+08:00 ] /admin.php/index/top | INFO: Run LocationTemplate Behavior [ RunTime:0.000000s ]
[ 2015-09-24T21:19:52+08:00 ] /admin.php/index/top | INFO: Tag[ view_template ] --END-- [ RunTime:0.000000s ]
[ 2015-09-24T21:19:52+08:00 ] /admin.php/index/top | INFO: Tag[ view_parse ] --START--
[ 2015-09-24T21:19:52+08:00 ] /admin.php/index/top | INFO: Run ParseTemplate Behavior [ RunTime:0.015625s ]
[ 2015-09-24T21:19:52+08:00 ] /admin.php/index/top | INFO: Tag[ view_parse ] --END-- [ RunTime:0.015625s ]
[ 2015-09-24T21:19:52+08:00 ] /admin.php/index/top | INFO: Tag[ view_filter ] --START--
[ 2015-09-24T21:19:52+08:00 ] /admin.php/index/top | INFO: Run ContentReplace Behavior [ RunTime:0.000000s ]
[ 2015-09-24T21:19:52+08:00 ] /admin.php/index/top | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2015-09-24T21:19:52+08:00 ] /admin.php/index/top | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2015-09-24T21:19:52+08:00 ] /admin.php/index/top | INFO: Run ShowRuntime Behavior [ RunTime:0.000000s ]
[ 2015-09-24T21:19:52+08:00 ] /admin.php/index/top | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000000s ]
[ 2015-09-24T21:19:52+08:00 ] /admin.php/index/top | INFO: Tag[ view_end ] --START--
[ 2015-09-24T21:19:52+08:00 ] /admin.php/index/top | INFO: Run ShowPageTrace Behavior [ RunTime:0.000000s ]
[ 2015-09-24T21:19:52+08:00 ] /admin.php/index/top | INFO: Tag[ view_end ] --END-- [ RunTime:0.000000s ]
[ 2015-09-24T21:19:52+08:00 ] /admin.php/index/home | INFO: Tag[ route_check ] --START--
[ 2015-09-24T21:19:52+08:00 ] /admin.php/index/home | INFO: Run CheckRoute Behavior [ RunTime:0.015625s ]
[ 2015-09-24T21:19:52+08:00 ] /admin.php/index/home | INFO: Tag[ route_check ] --END-- [ RunTime:0.015625s ]
[ 2015-09-24T21:19:52+08:00 ] /admin.php/index/home | INFO: Tag[ app_begin ] --START--
[ 2015-09-24T21:19:52+08:00 ] /admin.php/index/home | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2015-09-24T21:19:52+08:00 ] /admin.php/index/home | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2015-09-24T21:19:52+08:00 ] /admin.php/index/home | NOTIC: [8] Undefined offset: 1 CommonAction.class.php 第 149 行.
[ 2015-09-24T21:19:52+08:00 ] /admin.php/index/home | NOTIC: [8192] mysql_escape_string(): This function is deprecated; use mysql_real_escape_string() instead. DbMysql.class.php 第 409 行.
[ 2015-09-24T21:19:52+08:00 ] /admin.php/index/home | SQL: SELECT `menu_id`,`menu_title`,`pid`,`url` FROM `cms_admin_menu` WHERE ( `status` = 1 ) AND ( `level` = 2 ) AND ( `func_name` = 'Index' ) LIMIT 1   [ RunTime:0.000000s ]
[ 2015-09-24T21:19:52+08:00 ] /admin.php/index/home | SQL: SELECT `menu_id`,`menu_title`,`url` FROM `cms_admin_menu` WHERE ( `menu_id` = null ) LIMIT 1   [ RunTime:0.000000s ]
[ 2015-09-24T21:19:52+08:00 ] /admin.php/index/home | SQL: SELECT `menu_title`,`pid`,`url` FROM `cms_admin_menu` WHERE ( `status` = 1 ) AND ( `level` = 3 ) AND ( `func_name` = 'home' ) LIMIT 1   [ RunTime:0.000000s ]
